title,author
Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire
Life of Pi,Yann Martel
Secret History,DONNA TARTT
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield
"The Amber Spyglass (His Dark Materials, Book 3)",PHILIP PULLMAN
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN
"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN
Animal Farm,George Orwell
A Man in Full,Tom Wolfe
A Painted House,John Grisham
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger
Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay
The Hunt for Red October,Tom Clancy
The Secret Life of Bees,Sue Monk Kidd
Digital Fortress : A Thriller,Dan Brown
The Firm,John Grisham
The Client,John Grisham
Heart of the Sea (Irish Trilogy),Nora Roberts
The Little Prince,Antoine de Saint-Exup̩ry
Moonlight Becomes You,Mary Higgins Clark
The Lovely Bones: A Novel,Alice Sebold
Hannibal,Thomas Harris
The Robber Bride,Margaret Atwood
A Widow for One Year,JOHN IRVING
Empire Falls,Richard Russo
Oryx and Crake,Margaret Atwood
Black and Blue,ANNA QUINDLEN
She's Come Undone (Oprah's Book Club),Wally Lamb
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich
The First Wives Club Movie Tie In,Olivia Goldsmith
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye
The Shining,Stephen King
The Diary of Ellen Rimbauer: My Life at Rose Red,Joyce Reardon
The Bean Trees,Barbara Kingsolver
The Red Tent (Bestselling Backlist),Anita Diamant
The Nanny Diaries: A Novel,Emma McLaughlin
Postmortem,Patricia Daniels Cornwell
While My Pretty One Sleeps,Mary Higgins Clark
Three Junes,JULIA GLASS
Back Roads,Tawni O'Dell
In Her Shoes : A Novel,Jennifer Weiner
The Kiss,Danielle Steel
Strangers,Dean R. Koontz
A Thousand Acres (Ballantine Reader's Circle),JANE SMILEY
River's End,Nora Roberts
The Chamber,John Grisham
The Partner,John Grisham
Chosen Prey,John Sandford
Guilty as Sin,TAMI HOAG
Night Sins,TAMI HOAG
Abduction,Robin Cook
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE
The Mummy or Ramses the Damned,Anne Rice
Vanished,Danielle Steel
Daisy Fay and the Miracle Man,Fannie Flagg
Angela's Ashes: A Memoir,Frank McCourt
The Next Accident,LISA GARDNER
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser
Echoes,Maeve Binchy
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich
Along Came a Spider (Alex Cross Novels),James Patterson
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts
The Girls' Guide to Hunting and Fishing,Melissa Bank
Icy Sparks,Gwyn Hyman Rubio
The Da Vinci Code,Dan Brown
A Map of the World,Jane Hamilton
Bridget Jones : The Edge of Reason,Helen Fielding
Big Trouble,Dave Barry
Snow Falling on Cedars,David Guterson
Skipping Christmas,JOHN GRISHAM
The Reader,Bernhard Schlink
Daddy's Little Girl,Mary Higgins Clark
If Only It Were True,Marc Levy
Message in a Bottle,Nicholas Sparks
The Guardian,Nicholas Sparks
Nights in Rodanthe,Nicholas Sparks
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN
The Villa,Nora Roberts
Suzanne's Diary for Nicholas,James Patterson
2nd Chance,James Patterson
"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket
Me Talk Pretty One Day,David Sedaris
The Door to December,Dean R. Koontz
Dreamcatcher,Stephen King
Smilla's Sense of Snow,Peter Hoeg
The Giver (21st Century Reference),LOIS LOWRY
The Dead Zone,Stephen King
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card
A Time to Kill,JOHN GRISHAM
Charming Billy,Alice McDermott
No Safe Place,RICHARD NORTH PATTERSON
Granny Dan,DANIELLE STEEL
Wuthering Heights,EMILY BRONTE
Toxin,Robin Cook
Dark Paradise,TAMI HOAG
Middlesex: A Novel,Jeffrey Eugenides
The Rainmaker,JOHN GRISHAM
The Bad Place,Dean R. Koontz
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon
The Phantom Tollbooth,Norton Juster
Dances With Wolves,Michael Blake
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN
Degree of Guilt,Richard North Patterson
SHIPPING NEWS,Annie Proulx
The Smoke Jumper,Nicholas Evans
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY
Fall On Your Knees (Oprah #45),Ann-Marie MacDonald
Reap the Wind,Iris Johansen
The Carousel,Belva Plain
While I Was Gone,Sue Miller
The House of the Spirits,Isabel Allende
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb
STONES FROM THE RIVER,Ursula Hegi
Dragonfly in Amber,DIANA GABALDON
Naked,David Sedaris
Kiss the Girls,James Patterson
Different Seasons,Stephen King
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE
Jack &amp; Jill (Alex Cross Novels),James Patterson
Vittorio the Vampire: New Tales of the Vampires,Anne Rice
American Gods,Neil Gaiman
Red Dragon,Thomas Harris
Jurassic Park,Michael Crichton
Stanislaski Brothers (Silhouette Promo),Nora Roberts
Neverwhere,Neil Gaiman
The Thorn Birds,Colleen McCullough
"Forever... : A Novel of Good and Evil, Love and Hope",Jude Deveraux
Mother of Pearl,Melinda Haynes
Choke,CHUCK PALAHNIUK
"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore
Lake Wobegon Days,Garrison Keillor
The Color of Water: A Black Man's Tribute to His White Mother,James McBride
Anne Frank: The Diary of a Young Girl,ANNE FRANK
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA
The Cider House Rules,John Irving
Table For Two,Nora Roberts
Good Omens,Neil Gaiman
The Poisonwood Bible: A Novel,Barbara Kingsolver
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines
Jewel,Bret Lott
A Prayer for Owen Meany,John Irving
Cold Sassy Tree,Olive Ann Burns
The Shipping News : A Novel,Annie Proulx
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith
"Breath, Eyes, Memory",Edwidge Danticat
Songs in Ordinary Time (Oprah's Book Club (Paperback)),Mary McGarry Morris
Summer Sisters,Judy Blume
At Home in Mitford (The Mitford Years),Jan Karon
Bel Canto: A Novel,Ann Patchett
All Around the Town,Mary Higgins Clark
A Civil Action,JONATHAN HARR
Faking It,Jennifer Crusie
The Loop,Nicholas Evans
Good in Bed,Jennifer Weiner
We'll Meet Again,Mary Higgins Clark
How to Make an American Quilt,Whitney Otto
Ellen Foster,Kaye Gibbons
The Hours : A Novel,Michael Cunningham
Cold Mountain : A Novel,CHARLES FRAZIER
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
The Last Time They Met : A Novel,Anita Shreve
The Green Mile,Stephen King
A Heartbreaking Work of Staggering Genius,Dave Eggers
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN
Watership Down,Richard George Adams
The Blue Nowhere : A Novel,Jeffery Deaver
Sudden Prey,John Sandford
A Year in Provence,Peter Mayle
When the Wind Blows,James Patterson
I Capture the Castle,Dodie Smith
What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg
The Alchemist: A Fable About Following Your Dream,Paulo Coelho
Miss Julia Speaks Her Mind : A Novel,Ann B. Ross
Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani
Black Notice,Patricia Daniels Cornwell
One for the Money (A Stephanie Plum Novel),Janet Evanovich
Lord of the Flies,William Gerald Golding
The Alienist,Caleb Carr
Notes from a Small Island,Bill Bryson
Harvest,BELVA PLAIN
Engaging The Enemy,Nora Roberts
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER
Into the Wild,Jon Krakauer
Cause of Death,Patricia Daniels Cornwell
The Poisonwood Bible,Barbara Kingsolver
Waiting to Exhale,Terry McMillan
Chromosome 6,Robin Cook
Point of Origin,Patricia Daniels Cornwell
Rising Sun,MICHAEL CRICHTON
Cradle and All,James Patterson
1st to Die: A Novel,James Patterson
Flesh and Blood,Jonathan Kellerman
Everything's Eventual : 14 Dark Tales,Stephen King
Here on Earth,Alice Hoffman
The Lost World,Michael Crichton
Absolute Power,David Baldacci
White Oleander : A Novel,Janet Fitch
CAT'S EYE,MARGARET ATWOOD
The Handmaid's Tale,Margaret Atwood
The Murder Book,Jonathan Kellerman
Body of Lies,IRIS JOHANSEN
Lightning,Dean R. Koontz
Hearts In Atlantis,Stephen King
Winter Moon,Dean R. Koontz
Mercy,Julie Garwood
The Simple Truth,David Baldacci
Last Man Standing,David Baldacci
1984,George Orwell
The Mists of Avalon,MARION ZIMMER BRADLEY
Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green
Now You See Her,Linda Howard
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling
Sea Glass: A Novel,Anita Shreve
Kaleidoscope,June Stepansky
Seven Habits Of Highly Effective People,Stephen R. Covey
The Andromeda Strain,MICHAEL CRICHTON
"Loves Music, Loves to Dance",Mary Higgins Clark
Dolores Claiborne,Stephen King
Clear and Present Danger (Jack Ryan Novels),Tom Clancy
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM
Tell No One,Harlan Coben
The Sum of All Fears (Jack Ryan Novels),Tom Clancy
WLD ACCORDNG GARP,John Irving
The First Counsel,Brad Meltzer
Mystic River,Dennis Lehane
The Jester,James Patterson
Watermelon,Marian Keyes
Sick Puppy,Carl Hiaasen
Fear Nothing,DEAN KOONTZ
J Is for Judgment,Sue Grafton
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON
Sphere,MICHAEL CRICHTON
The Pelican Brief,John Grisham
Bridget Jones: The Edge of Reason,Helen Fielding
Don't Stand Too Close to a Naked Man,Tim Allen
Interview with the Vampire,Anne Rice
The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice
"\O\"" Is for Outlaw""",SUE GRAFTON
The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton
How to Be Good,Nick Hornby
The Color Purple,Alice Walker
Mirror Image,Danielle Steel
The Notebook,Nicholas Sparks
Carnal Innocence,Nora Roberts
You Belong To Me,Mary Higgins Clark
Peace Like a River,Leif Enger
Cry Wolf,TAMI HOAG
Montana Sky,Nora Roberts
Carolina Moon,Nora Roberts
Three Fates,Nora Roberts
Pay It Forward,Catherine Ryan Hyde
Bastard Out of Carolina,Dorothy Allison
Face the Fire (Three Sisters Island Trilogy),Nora Roberts
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling
"Dude, Where's My Country?",Michael Moore
Homecoming,Cynthia Voigt
Phantoms,Dean R. Koontz
ANGELA'S ASHES,Frank McCourt
Violets Are Blue,James Patterson
The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst
Contagion,Robin Cook
The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice
Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell
Misery,Stephen King
The Eyre Affair: A Novel,Jasper Fforde
The Body Farm,Patricia Daniels Cornwell
Mortal Fear,Greg Iles
By the Light of the Moon,DEAN KOONTZ
Watchers,Dean R. Koontz
Intensity,DEAN KOONTZ
Dark Rivers of the Heart,Dean R. Koontz
Mr. Murder,Dean R. Koontz
The Hours: A Novel,Michael Cunningham
A Day Late and a Dollar Short,Terry McMillan
Rainbow Six,Tom Clancy
The Bonesetter's Daughter,Amy Tan
The Hundred Secret Senses,Amy Tan
Midwives: A Novel,Chris Bohjalian
Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison
I Know This Much Is True,Wally Lamb
To the Nines: A Stephanie Plum Novel,Janet Evanovich
The Witness,Sandra Brown
Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson
Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN
Call of the Wild,Jack London
"Girl, Interrupted",SUSANNA KAYSEN
Whispers,BELVA PLAIN
Four To Score (A Stephanie Plum Novel),Janet Evanovich
Rising Tides,Nora Roberts
High Five (A Stephanie Plum Novel),Janet Evanovich
Five Quarters of the Orange,Joanne Harris
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer
Final Target,Iris Johansen
Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye
The Runaway Jury,JOHN GRISHAM
Without Remorse,Tom Clancy
The Woman Next Door,Barbara Delinsky
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN
Tales of a Fourth Grade Nothing,JUDY BLUME
The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman
Hornet's Nest,Patricia Daniels Cornwell
The Temple of My Familiar,Alice Walker
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling
Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez
It,Stephen King
Ashes to Ashes,TAMI HOAG
Insomnia,Stephen King
Stillwatch,MARY HIGGINS CLARK
Tis: A Memoir,Frank McCourt
Midnight,Dean R. Koontz
Unnatural Exposure,Cornwell Patricia
Slammerkin,Emma Donoghue
The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL
Dead Run,Erica Spindler
The Surgeon,TESS GERRITSEN
Presumed Innocent,Scott Turow
Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY
It Was on Fire When I Lay Down on It,Robert Fulghum
Pleading Guilty,Scott Turow
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner
4 Blondes,Candace Bushnell
Night,Elie Wiesel
The Secret Garden,Frances Hodgson Burnett
Black House,Stephen King
Falling Angels,Tracy Chevalier
Christine,Stephen King
The Valley of Horses,JEAN M. AUEL
Desperation,Stephen King
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling
Charlotte's Web (Trophy Newbery),E. B. White
Primary Colors: A Novel of Politics,Anonymous
The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark
The Gift,DANIELLE STEEL
A Bend in the Road,Nicholas Sparks
The Great Gatsby,F. Scott Fitzgerald
Lucky : A Memoir,Alice Sebold
Bittersweet,DANIELLE STEEL
Weep No More My Lady,Mary Higgins Clark
Let Me Call You Sweetheart,Mary Higgins Clark
K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
Unspeakable,Sandra Brown
Irish Hearts,Nora Roberts
Circle of Friends,Maeve Binchy
The Bourne Identity,Robert Ludlum
Under the Tuscan Sun,Frances Mayes
Heartbreaker,Julie Garwood
The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy
Southern Cross,Patricia Daniels Cornwell
Bag of Bones,Stephen King
Brave New World,Aldous Huxley
The Prince of Tides,Pat Conroy
The Honk and Holler Opening Soon,Billie Letts
Shopaholic Ties the Knot,Sophie Kinsella
One Door Away from Heaven,Dean R. Koontz
The Bridges of Madison County,Robert James Waller
"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN
Ladder of Years,Anne Tyler
High Fidelity,Nick Hornby
Prodigal Summer,Barbara Kingsolver
White Oleander : A Novel (Oprah's Book Club),Janet Fitch
Confessions of an Ugly Stepsister : A Novel,Gregory Maguire
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG
The Accidental Tourist,Anne Tyler
Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON
The Reef,Nora Roberts
Prime Cut,Diane Mott Davidson
House of Sand and Fog,Andre Dubus III
Saving Faith,David Baldacci
The Mulberry Tree,Jude Deveraux
White Teeth: A Novel,Zadie Smith
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder
Silence of the Lambs,Thomas Harris
The Hot Zone,Richard Preston
The Rapture of Canaan,Sheri Reynolds
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts
What Looks Like Crazy On An Ordinary Day,Pearl Cleage
Angela's Ashes (MMP) : A Memoir,Frank McCourt
Nerd in Shining Armor,Vicki Lewis Thompson
Range of Motion,Elizabeth Berg
"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket
Coraline,Neil Gaiman
Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton
Long After Midnight,IRIS JOHANSEN
Disclosure,Michael Crichton
The Idiot Girls' Action Adventure Club,Laurie Notaro
How Stella Got Her Groove Back,Terry McMillan
The Pilot's Wife : A Novel,Anita Shreve
About a Boy,Nick Hornby
A Patchwork Planet,ANNE TYLER
Dangerous,Amanda Quick
Outlander,DIANA GABALDON
Blessings,ANNA QUINDLEN
Shell Seekers,Rosamunde Pilcher
A Case of Need,Michael Crichton
Death du Jour,Kathy Reichs
Pop Goes the Weasel,James Patterson
Last Chance Saloon,Marian Keyes
The Devil Wears Prada : A Novel,LAUREN WEISBERGER
On the Street Where You Live,Mary Higgins Clark
Prodigal Summer: A Novel,Barbara Kingsolver
Winter Solstice,Rosamunde Pilcher
We Were the Mulvaneys,Joyce Carol Oates
Cujo,Stephen King
Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE
Year of Wonders,Geraldine Brooks
The Search,Iris Johansen
All I Really Need to Know,ROBERT FULGHUM
Tara Road,Maeve Binchy
Chocolat,Joanne Harris
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling
Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut
P Is for Peril,Sue Grafton
Beach House,Mary Alice Monroe
The Celestine Prophecy (Celestine Prophecy),James Redfield
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling
Hideaway,Dean R. Koontz
The Tommyknockers,Stephen King
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith
A Walk to Remember,Nicholas Sparks
Journey,James A. Michener
Holes (Yearling Newbery),LOUIS SACHAR
The Summons,John Grisham
The Winner,David Baldacci
The Virgin Suicides,Jeffrey Eugenides
From Potter's Field,Patricia Daniels Cornwell
The Summerhouse,Jude Deveraux
Cold Mountain,Charles Frazier
Scarlet Feather,Maeve Binchy
The Blind Assassin,Margaret Atwood
Birthright,Nora Roberts
D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
Midnight in the Garden of Good and Evil,John Berendt
Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
Two for the Dough,Janet Evanovich
Turtle Moon,Alice Hoffman
Where the Red Fern Grows,Wilson Rawls
A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer
The Little Friend,Donna Tartt
Saint Maybe,ANNE TYLER
Rules of Prey,John Sandford
And Then You Die,Iris Johansen
Envy,Sandra Brown
Betrayal in Death,Nora Roberts
"The Gunslinger (The Dark Tower, Book 1)",Stephen King
The Dark Half,Stephen King
Full House (Janet Evanovich's Full Series),Janet Evanovich
F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
The Regulators,Stephen King
Plum Island,Nelson DeMille
The Eight,Katherine Neville
"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King
"Wizard and Glass (The Dark Tower, Book 4)",Stephen King
Beloved,Toni Morrison
The Empty Chair,Jeffery Deaver
The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE
Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ
The Last Precinct,Patricia Cornwell
September,Rosamunde Pilcher
Possession : A Romance,A.S. BYATT
L Is for Lawless,Sue Grafton
Violin,Anne Rice
Animal Dreams,Barbara Kingsolver
The Ghost,Danielle Steel
Sleepers,Lorenzo Carcaterra
Temptation,Dermot Bolger
The Angel of Darkness,Caleb Carr
84 Charing Cross Road,Helene Hanff
Jewel (Oprah's Book Club),Bret Lott
Quentins,Maeve Binchy
I Is for Innocent,Sue Grafton
Evening Class,Maeve Binchy
Morality for Beautiful Girls (No.1 Ladies Detective Agency),Alexander McCall Smith
N Is for Noose,Sue Grafton
A Wrinkle in Time,Madeleine L'Engle
The English Patient,Michael Ondaatje
The Fourth Hand,John Irving
Shadow Prey,John Sandford
Dragon Tears,Dean R. Koontz
Dawn (Cutler),V.C. Andrews
Fat Tuesday,Sandra Brown
Couplehood,Paul Reiser
The Grilling Season,Diane Mott Davidson
I Know Why the Caged Bird Sings,MAYA ANGELOU
Still Waters,TAMI HOAG
The Terminal Man,Michael Crichton
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich
Angels,Marian Keyes
Debt of Honor (Jack Ryan Novels),Tom Clancy
Dark Angel,V.C. Andrews
Taltos: Lives of the Mayfair Witches,Anne Rice
One True Thing,Anna Quindlen
Skeleton Crew,Stephen King
Seize the Night,DEAN KOONTZ
Shattered,Dean R. Koontz
Q Is for Quarry,Sue Grafton
Girl in Hyacinth Blue,Susan Vreeland
Full Tilt (Janet Evanovich's Full Series),Janet Evanovich
The Glass Lake,Maeve Binchy
The Horse Whisperer,Nicholas Evans
"River, Cross My Heart",Breena Clarke
Catering to Nobody,Diane Mott Davidson
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison
The Edge,Catherine Coulter
Sea Swept (Quinn Brothers (Paperback)),Nora Roberts
Seven Up (A Stephanie Plum Novel),Janet Evanovich
The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve
Hearts in Atlantis,Stephen King
Jacob Have I Loved,Katherine Paterson
Dust to Dust,TAMI HOAG
Over the Edge,Jonathan Kellerman
Standoff,Sandra Brown
"Truly, Madly Manhattan",Nora Roberts
The Deep End of the Ocean,Jacquelyn Mitchard
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
Gerald's Game,Stephen King
FORREST GUMP (Movie Tie in),Winston Groom
Rose Madder,Stephen King
Neuromancer (Remembering Tomorrow),William Gibson
Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy
Drums of Autumn,DIANA GABALDON
Voyager,DIANA GABALDON
The Stone Diaries,Carol Shields
Dr. Atkins' New Diet Revolution,Robert C. Atkins
Daddy,DANIELLE STEEL
Small Town Girl,LaVyrle Spencer
Killjoy,Julie Garwood
Tell Me Your Dreams,Sidney Sheldon
A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG
Matilda,Roald Dahl
The Face of Deception,Iris Johansen
G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton
The Other Boleyn Girl,Philippa Gregory
The Bonfire of the Vanities,Tom Wolfe
All Creatures Great and Small,James Herriot
Lake Wobegon days,Garrison Keillor
Tough Cookie,Diane Mott Davidson
Alaska,Frank Lauria
The Bachelor (Warner Books Contemporary Romance),Carly Phillips
The Promise,Mandalyn Kaye
Needful Things,Stephen King
Four Past Midnight,Stephen King
"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray
Smart Women,Judy Blume
Hemlock Bay,Catherine Coulter
The Wedding,Nicholas Sparks
Red Storm Rising,Tom Clancy
Tell Me Lies (Tell Me Lies),Jennifer Crusie
Hide &amp; Seek,James Patterson
Wanderlust,Danielle Steel
"Whirlwind (Tyler, Book 1)",Nancy Martin
Carrie,Stephen King
Schindler's List,Thomas Keneally
The General's Daughter,Nelson DeMille
Drowning Ruth,Christina Schwarz
The Bourne Supremacy,Robert Ludlum
Summer Pleasures,Nora Roberts
Homeport,Nora Roberts
Five Days in Paris,DANIELLE STEEL
Paradise,Toni Morrison
A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons
The Burden of Proof,Scott Turow
Accident,Danielle Steel
Master of the Game,Sidney Sheldon
If Tomorrow Comes,Sidney Sheldon
False Memory,Dean R. Koontz
Second Nature,Alice Hoffman
Coming Home,Rosamunde Pilcher
Foucault's Pendulum,Umberto Eco
Colony,Anne Rivers Siddons
Devices and Desires,Phyllis White
The Killing Game: Only One Can Win...and the Loser Dies,Iris Johansen
Nightmares &amp; Dreamscapes,Stephen King
Thinner,Stephen King
The Talisman,Stephen King
A Cry In The Night,Mary Higgins Clark
"Welcome to the World, Baby Girl!",Fannie Flagg
Fatal Cure,Robin Cook
A Fine Balance,Rohinton Mistry
Deja Dead,Kathy Reichs
The Ugly Duckling,Iris Johansen
I Know This Much Is True (Oprah's Book Club),Wally Lamb
Fine Things,Danielle Steel
Anne of the Island,Lucy Maud Montgomery
Welcome to Temptation,Jennifer Crusie
Sole Survivor,DEAN KOONTZ
Tears of the Moon (Irish Trilogy),Nora Roberts
